model_0,model_dir_0,num_0,name_0,model_1,model_dir_1,num_1,name_1,win_0,win_1
AdvantageQN,trained_models/03_1521/Adv_B/model.weights/model,1002194,Adv3B,NatureQN,trained_models/03_2357/Nature_A/model.weights/model,250101,Nature4A,20,1
AdvantageQN,trained_models/03_1521/Adv_B/model.weights/model,1002194,Adv3B,NatureQN,trained_models/03_2357/Nature_A/model.weights/model,1001653,Nature4A,8,20
AdvantageQN,trained_models/03_1521/Adv_B/model.weights/model,1002194,Adv3B,NatureQN,trained_models/03_2357/Nature_A/model.weights/model,2503205,Nature4A,10,20
AdvantageQN,trained_models/03_1521/Adv_B/model.weights/model,1002194,Adv3B,NatureQN,trained_models/03_2357/Nature_A/model.weights/model,4758399,Nature4A,13,20
AdvantageQN,trained_models/03_1521/Adv_B/model.weights/model,1002194,Adv3B,NatureQN,trained_models/03_2357/Nature_B/model.weights/model,250101,Nature4B,20,11
AdvantageQN,trained_models/03_1521/Adv_B/model.weights/model,1002194,Adv3B,NatureQN,trained_models/03_2357/Nature_B/model.weights/model,1001653,Nature4B,8,20
AdvantageQN,trained_models/03_1521/Adv_B/model.weights/model,1002194,Adv3B,NatureQN,trained_models/03_2357/Nature_B/model.weights/model,2503205,Nature4B,12,20
AdvantageQN,trained_models/03_1521/Adv_B/model.weights/model,1002194,Adv3B,NatureQN,trained_models/03_2357/Nature_B/model.weights/model,4758399,Nature4B,9,20
AdvantageQN,trained_models/03_1521/Adv_B/model.weights/model,2505204,Adv3B,AdvantageQN,trained_models/04_1006/Adv_Single/model.weights/model,250047,ADV_vs_Random,20,4
AdvantageQN,trained_models/03_1521/Adv_B/model.weights/model,2505204,Adv3B,AdvantageQN,trained_models/04_1006/Adv_Single/model.weights/model,1000867,ADV_vs_Random,20,9
AdvantageQN,trained_models/03_1521/Adv_B/model.weights/model,2505204,Adv3B,AdvantageQN,trained_models/04_1006/Adv_Single/model.weights/model,2501982,ADV_vs_Random,20,4
AdvantageQN,trained_models/03_1521/Adv_B/model.weights/model,2505204,Adv3B,AdvantageQN,trained_models/04_1006/Adv_Single/model.weights/model,4753393,ADV_vs_Random,20,9
AdvantageQN,trained_models/03_1521/Adv_B/model.weights/model,2505204,Adv3B,AdvantageQN,trained_models/04_1109/Adv_Single/model.weights/model,250016,ADV_vs_250k,20,4
AdvantageQN,trained_models/03_1521/Adv_B/model.weights/model,2505204,Adv3B,AdvantageQN,trained_models/04_1109/Adv_Single/model.weights/model,1000902,ADV_vs_250k,20,8
AdvantageQN,trained_models/03_1521/Adv_B/model.weights/model,2505204,Adv3B,AdvantageQN,trained_models/04_1109/Adv_Single/model.weights/model,2501784,ADV_vs_250k,20,11
AdvantageQN,trained_models/03_1521/Adv_B/model.weights/model,2505204,Adv3B,AdvantageQN,trained_models/04_1109/Adv_Single/model.weights/model,4753522,ADV_vs_250k,20,7
AdvantageQN,trained_models/03_1521/Adv_B/model.weights/model,2505204,Adv3B,NatureQN,trained_models/03_2357/Nature_A/model.weights/model,250101,Nature4A,20,2
AdvantageQN,trained_models/03_1521/Adv_B/model.weights/model,2505204,Adv3B,NatureQN,trained_models/03_2357/Nature_A/model.weights/model,1001653,Nature4A,20,9
